endTime,artistName,trackName,msPlayed
2023-10-14 20:32,Sheppard,Brand New,4179
2023-10-14 20:32,MIKA,Grace Kelly,2600
2023-10-14 20:32,Ava Max,Maybe You’re The Problem,2438
2023-10-14 20:32,Taylor Swift,I Knew You Were Trouble (Taylor's Version),2902
2023-10-14 20:36,Demi Lovato,Confident,1091
2023-10-14 20:36,Lily Allen,Fuck You,213966
2023-10-14 20:36,Hailee Steinfeld,Love Myself,1509
2023-10-14 20:36,Sheppard,On My Way,1137
2023-10-14 20:36,CLMD,Burning My Bridges,2182
2023-10-14 20:39,Sara Bareilles,Kaleidoscope Heart,2392
2023-10-14 20:39,Taylor Swift,All You Had To Do Was Stay,193293
2023-10-14 20:42,Sam Smith,Dancing With A Stranger (with Normani),171029
2023-10-14 20:47,Kelly Clarkson,Happier Than Ever,254725
2023-10-14 20:47,Selena Gomez,Hands To Myself,14725
2023-10-15 11:29,Ciara Renée,God Help The Outcasts,1550
2023-10-15 11:29,Troye Sivan,Honey,8190
2023-10-15 11:29,Selena Gomez,Hands To Myself,5140
2023-10-15 11:29,SIX,No Way,1730
2023-10-15 11:33,Tituss Burgess as Sebastian,Kiss the Girl,280070
2023-10-15 11:37,Stephen Schwartz,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",1270
2023-10-15 11:37,SIX,The MegaSIX,800
2023-10-15 11:37,Rachel Bay Jones,Anybody Have a Map?,1340
2023-10-15 11:37,Mel Brooks,"When You Got It, Flaunt It (From ""The Producers"")",3220
2023-10-15 11:37,SMASH Cast,Let Me Be Your Star (SMASH Cast Version) (feat. Katharine McPhee & Megan Hilty) - (Extended Intro),1330
2023-10-15 11:37,Mel Brooks,You Never Say Good Luck On Opening Night,1610
2023-10-15 11:37,Mel Brooks,We Can Do It,2110
2023-10-15 11:37,Ben Platt,If I Could Tell Her,1930
2023-10-15 11:37,Aaron Tveit,Do You Hear The People Sing?,1050
2023-10-15 11:37,Stephen Schwartz,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",1570
2023-10-15 11:37,Barrett Wilbert Weed,I'd Rather Be Me,1350
2023-10-15 11:37,Nikki Blonsky,Good Morning Baltimore,3000
2023-10-15 11:37,Adam Pascal,Written In The Stars,1210
2023-10-15 11:37,Erika Henningsen,I See Stars,2380
2023-10-15 11:37,Caissie Levy,What Remains,5120
2023-10-15 11:37,Susan Egan,Home,3790
2023-10-15 11:37,Mel Brooks,Haben Sie gehört das Deutsche band?,3700
2023-10-15 11:37,Andrew Rannells,Hello!,890
2023-10-15 11:37,Lucy,Someone Like You,2180
2023-10-15 11:37,Christy Altomare,Journey to the Past,196120
2023-10-15 11:37,Ben Platt,For Forever,100
2023-10-15 11:37,Crazy Ex-Girlfriend Cast,You Stupid Bitch (feat. Rachel Bloom),750
2023-10-15 11:37,Andrew Rannells,Tomorrow Is a Latter Day,1610
2023-10-15 11:38,Crazy Ex-Girlfriend Cast,"Let's Generalize About Men (feat. Rachel Bloom, Donna Lynne Champlin, Vella Lovell & Gabrielle Ruiz)",1450
2023-10-15 11:38,Michael Arden,Heaven's Light,1410
2023-10-15 11:38,Derek Klena,My Petersburg,1130
2023-10-15 11:38,SIX,Six,1350
2023-10-15 11:38,Catherine Zeta-Jones,Cell Block Tango,3190
2023-10-15 11:40,Mel Brooks,Der Guten Tag Hop-Clop,117826
2023-10-15 11:47,Aaron Tveit,"Sandy - From ""Grease Live!"" Music From The Television Event",438756
2023-10-15 11:47,Terrence Mann,If I Can't Love Her,850
2023-10-15 11:47,Caitlin Kinnunen,Dance with You,8486
2023-10-15 11:50,Caitlin Kinnunen,Dance with You,187440
2023-10-15 11:57,Aaron Tveit,El Tango De Roxanne,2220
2023-10-15 11:57,Hedwig And The Angry Inch - Original Broadway Cast,Wig In A Box,860
2023-10-15 11:57,Terrence Mann,If I Can't Love Her,379430
2023-10-15 11:57,Derek Klena,In a Crowd of Thousands,1000
2023-10-15 12:00,Company of The Prom: A New Musical,It's Time to Dance,1600
2023-10-15 12:00,Crazy Ex-Girlfriend Cast,Oh My God I Think I Like You (feat. Rachel Bloom),2150
2023-10-15 12:00,Wilson Jermaine Heredia,I'll Cover You,1250
2023-10-15 12:00,Christy Altomare,In My Dreams,870
2023-10-15 12:00,Caissie Levy,"Monster - From ""Frozen: The Broadway Musical""",1470
2023-10-15 12:00,Mel Brooks,Opening Night,2190
2023-10-15 12:00,Soundtrack/Cast Album,Grow For Me,179480
2023-10-15 12:00,Mel Brooks,I Wanna Be A Producer,16240
2023-10-15 12:02,Crazy Ex-Girlfriend Cast,Rebecca's Reprise (feat. Rachel Bloom),91496
2023-10-15 12:02,SMASH Cast,They Just Keep Moving The Line (SMASH Cast Version) (feat. Megan Hilty),5093
2023-10-15 12:02,Aaron Tveit,"Sandy - From ""Grease Live!"" Music From The Television Event",1110
2023-10-15 12:02,Heidi Blickenstaff,Right Hand Man,1170
2023-10-15 12:02,Mel Brooks,Overture,2390
2023-10-15 12:02,Annaleigh Ashford,The History of Wrong Guys,2550
2023-10-15 12:02,Terrence Mann,If I Can't Love Her,1540
2023-10-15 12:07,Mel Brooks,Der Guten Tag Hop-Clop,1170
2023-10-15 12:07,Jo Ellen Pellman,It's Time to Dance,300740
2023-10-15 12:07,Christy Altomare,Once Upon a December,460
2023-10-15 12:07,Les Misérables Cast,One Day More,1240
2023-10-15 12:07,Cast Of Rent,Seasons of Love - From the Motion Picture RENT,1070
2023-10-15 12:07,Stephen Schwartz,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",950
2023-10-15 12:07,SIX,Six,940
2023-10-15 12:07,Taylor Louderman,World Burn,840
2023-10-15 12:07,Barrett Wilbert Weed,I'd Rather Be Me,1440
2023-10-15 12:07,Lin-Manuel Miranda,"Aaron Burr, Sir",800
2023-10-15 12:07,Susan Egan,Home,1050
2023-10-15 12:07,Ben Platt,Waving Through A Window,810
